[2025-07-17 23:38:41,699] 28 root - INFO - Data loading started...
[2025-07-17 23:38:43,231] 36 root - INFO - Data loading completed.
[2025-07-17 23:38:43,231] 37 root - INFO - Loading Gemini LLM model...
[2025-07-17 23:38:43,586] 42 root - INFO - Gemini model loaded successfully.
[2025-07-17 23:38:43,600] 40 root - INFO - Initializing Gemini embedding model...
[2025-07-17 23:38:45,048] 51 root - INFO - Creating vector index from documents...
[2025-07-17 23:38:51,706] 55 root - INFO - Persisting index to storage...
[2025-07-17 23:38:51,765] 59 root - INFO - Creating query engine for semantic search...
[2025-07-17 23:39:09,334] 28 root - INFO - Data loading started...
[2025-07-17 23:39:09,364] 36 root - INFO - Data loading completed.
[2025-07-17 23:39:09,366] 37 root - INFO - Loading Gemini LLM model...
[2025-07-17 23:39:09,816] 42 root - INFO - Gemini model loaded successfully.
[2025-07-17 23:39:09,816] 40 root - INFO - Initializing Gemini embedding model...
[2025-07-17 23:39:09,834] 51 root - INFO - Creating vector index from documents...
[2025-07-17 23:39:15,634] 55 root - INFO - Persisting index to storage...
[2025-07-17 23:39:15,751] 59 root - INFO - Creating query engine for semantic search...
